group,names,scores,logfoldchanges,pvals,pvals_adj
0,lum.L,71.306114,,0.0,0.0
0,mdk.S,70.96531,,0.0,0.0
0,apoe.S,69.48975,,0.0,0.0
0,mdk.L,68.82019,,0.0,0.0
0,fgfbp2.L,68.139114,,0.0,0.0
0,col1a2.S,67.806206,,0.0,0.0
0,c2orf40.L,67.76871,,0.0,0.0
0,epcam.L,67.64059,,0.0,0.0
0,kera.L,66.92286,,0.0,0.0
0,lum.S,66.62142,,0.0,0.0
0,col17a1.L,66.37971,,0.0,0.0
0,sparc.S,65.78737,,0.0,0.0
0,dcn.L,65.19746,,0.0,0.0
0,col14a1.L,65.08293,,0.0,0.0
0,apoe.L,64.79793,,0.0,0.0
0,col4a5.L,64.11009,,0.0,0.0
0,Xelaev18010117m.g,62.04373,,0.0,0.0
0,lamb4.L,61.191402,,0.0,0.0
0,col5a3.like.L,60.867252,,0.0,0.0
0,itgb4.L,60.81351,,0.0,0.0
0,postn.L,60.598995,,0.0,0.0
0,dcn.S,60.490112,,0.0,0.0
0,krt12.S,60.187954,,0.0,0.0
0,postn.S,60.183174,,0.0,0.0
0,Xelaev18045537m.g,59.718555,,0.0,0.0
0,frem2.L,59.30109,,0.0,0.0
0,egfl6.S,58.421562,,0.0,0.0
0,col5a3.like.S,58.396267,,0.0,0.0
0,loc100490088.S,58.162666,,0.0,0.0
0,Xelaev18016080m.g,57.35051,,0.0,0.0
1,cirbp.S,18.794155,,8.431266477199646e-79,3.116196089972989e-75
1,vim.L,18.197388,,5.412756058349267e-74,1.0002773195829446e-70
1,hn1.S,17.114433,,1.1583675112824839e-65,1.42710877390002e-62
1,vim.S,15.716832,,1.1597882167464465e-55,1.0716443122737166e-52
1,loc100486548.S,15.321719,,5.475005643742833e-53,4.047124171854702e-50
1,nid2.L,15.059386,,2.995566218727152e-51,1.8452687907359256e-48
1,lama4.L,14.295387,,2.3380310883381063e-46,1.2344804146425202e-43
1,fscn1.L,14.209355,,8.016028771349472e-46,3.7034052923634564e-43
1,marcksl1.L,13.966003,,2.513407175845212e-44,9.289552921923903e-42
1,calm2.S,13.39424,,6.534086714196897e-41,1.8576911150516716e-38
1,Xelaev18047214m.g,13.359788,,1.0385942193939823e-40,2.7418887392001135e-38
1,rhob.S,13.270626,,3.4270550998374577e-40,8.444263765999496e-38
1,Xelaev18003734m.g,12.665325,,9.203790811250357e-37,2.0010124022577244e-34
1,loc100498624.L,12.592543,,2.3207514392648217e-36,4.765276288623767e-34
1,lsp1.S,12.56676,,3.2163845542483855e-36,6.2567143750010695e-34
1,tuba4a.S,12.242671,,1.8388092585352317e-34,3.3981195097731085e-32
1,fscn1.S,12.178796,,4.0319094658243004e-34,7.096160659850768e-32
1,fabp3.L,12.15224,,5.581525302466317e-34,9.376962508143413e-32
