gene,p_value,log_fold_change,neg_log_p
itln1.L,2.48583881493168e-261,2.688443601082125,10.0
loc100127564.L,1.7560751694970568e-255,2.2704539643336212,10.0
Xelaev18019895m.g,2.3934512265457696e-238,2.0074796051917043,10.0
Xelaev18034081m.g,1.36705908125052e-234,2.113235148960922,10.0
Xelaev18026753m.g,1.769392337995415e-234,2.1525250545689127,10.0
akr1c2.L,4.456578924791878e-219,2.608738627606855,10.0
loc100492852.L,1.2287511051810862e-218,2.5030570825006264,10.0
fbp1.L,2.0829080151984567e-218,2.1794979230788685,10.0
pc.L,6.782750611505116e-216,2.40060904009436,10.0
pck1.L,2.975497516091388e-211,1.9312087677460403,10.0
agr2.S,1.0151328286529049e-210,1.9089058049963743,10.0
krt5.7.S,1.7606273639579974e-199,1.6365761358388449,10.0
agr2.L,6.12953932180807e-198,1.8173324212648188,10.0
Xelaev18028467m.g,2.1936701960640906e-196,1.8269664917276243,10.0
Xetrov90024133m.S,7.201898097276791e-195,1.724202459838377,10.0
loc100494547.L,4.532619079947512e-194,1.9404308977633562,10.0
gmds.L,1.5110326984905016e-193,1.9775307817985,10.0
nqo1.L,3.318599678650966e-190,1.8455994589468914,10.0
loc100497570.L,1.0230702527642602e-189,1.7614825374767211,10.0
capn9.S,1.5364019941982357e-186,1.8676001389728543,10.0
upk3a.L,8.229004313566009e-186,1.697887985430441,10.0
aldob.L,8.560136764470864e-185,2.24625054644911,10.0
gnb3.L,2.131914863722399e-184,2.0195270804952496,10.0
hexb.like.L,3.770135772803896e-182,1.7661714560128885,10.0
upk1a.L,3.391273717504119e-181,1.7735199447931025,10.0
Xelaev18045649m.g,8.790863309506434e-177,1.5865168883013754,10.0
loc100497729.L,1.4110358746356325e-176,1.6321131460698035,10.0
loc549413.L,7.639221034326708e-174,2.113821168393213,10.0
oxct1.L,3.835615611383217e-173,1.9771434724937416,10.0
cox7a2.L,1.5569058737292389e-171,1.3434196844276216,10.0
upk1b.L,2.3531518997900157e-167,1.5659476311756093,10.0
Xelaev18035220m.g,1.0235031185967276e-165,1.7970348891126076,10.0
upk1b.S,1.1153242967248373e-164,1.6224438443922082,10.0
mgst2.L,4.9499578872403054e-163,1.7013609778468402,10.0
g6pc.like.1.L,4.788784720057144e-162,1.55492593318737,10.0
Xelaev18040496m.g,1.860545894747449e-161,1.7608337531187301,10.0
cldn4.L,6.578607103482939e-161,1.4638103453811908,10.0
loc549413.S,8.205549229062471e-159,2.2741310984410528,10.0
loc100496311.like.L,2.1949835766501356e-157,1.6503242974363068,10.0
loc100497279.like.L,1.4708854946450892e-156,1.4979016793601965,10.0
pnp.S,2.62415401286626e-156,1.7858516274468033,10.0
pck1.S,1.177078260637665e-155,1.8574273717547645,10.0
aldob.S,4.7607781908717265e-155,2.2630577867841537,10.0
Xelaev18036725m.g,2.480429057417092e-153,1.5529017706368737,10.0
psca.L,2.6123199427464084e-152,1.4078446984461885,10.0
suclg2.L,2.0532588506989086e-150,1.8574617336329688,10.0
hmgn1.L,2.5829829528769626e-150,1.2050188460500617,10.0
loc100135371.L,6.9663901613653025e-149,2.204224300889375,10.0
loc100492852.S,9.912099712035385e-148,1.7839579850169638,10.0
Xelaev18014036m.g,5.778318821098188e-146,1.5183163677076026,10.0
ppp1r3c.2.S,2.535799514332791e-144,1.8452120951295996,10.0
slco2b1.S,2.7891659543771216e-144,1.9396391113520912,10.0
Xelaev18022490m.g,8.068950991644476e-144,2.19819930013235,10.0
krt.S,9.883862202751543e-144,1.9667114891669297,10.0
krt12.S,1.2752886344091528e-143,1.385585775987375,10.0
ezr.L,1.3705040325072568e-143,1.4567162939008056,10.0
loc101735110.L,2.0186555090037213e-143,1.5355530328516065,10.0
Xelaev18040854m.g,5.854302268963081e-142,1.4212186943547105,10.0
Xelaev18011461m.g,5.913210899577411e-142,1.7750115097111971,10.0
Xelaev18039162m.g,1.5113535920226087e-137,1.1698036106883607,10.0
Xelaev18037442m.g,6.414192087170452e-135,1.427835269003427,10.0
Xelaev18043641m.g,1.031441680899499e-134,1.3537368586686704,10.0
fbp1.S,6.124497119863353e-133,1.6557367043154474,10.0
mal.L,3.285727416278587e-131,1.3800170104768836,10.0
cldn4.S,1.9728483758655122e-130,1.2499256034699238,10.0
tmem45b.S,9.386018920492307e-130,1.7821870238666986,10.0
Xelaev18003734m.g,2.7897804496379646e-129,1.2012597211527127,10.0
Xelaev18047214m.g,2.378158292263281e-127,1.0967864328647212,10.0
Xelaev18001618m.g,3.8889223103508865e-127,1.5362988192403688,10.0
b3gnt7.L,2.122113917701056e-126,1.5970446218811893,10.0
tmem38b.L,3.3239818605708983e-126,1.4180917592535354,10.0
loc100492690.L,7.117426720898677e-123,1.702166972983869,10.0
loc101732341.L,2.4893866122761655e-122,1.5386932392949735,10.0
